Selected,player,player_id,season,lg,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
No Yes,string,string,continuous,ABA NBA,continuous,2TM 3TM 4TM 5TM ANA ATL BAL BLB BOS BRK BUF CAP CAR CHA CHH CHI CHO CHP CHZ CIN CLE DAL DEN DET DLC DNA DNR FLO FTW GSW HOU HSM INA IND INO KCK KCO KEN LAC LAL LAS MEM MIA MIL MIN MLH MMF MMP MMS MMT MNL MNM MNP NJA NJN NOB NOH NOJ NOK NOP NYA NYK NYN OAK OKC ORL PHI PHO PHW POR PTC PTP ROC SAA SAC SAS SDA SDC SDR SDS SEA SFW SSL STL SYR TEX TOR UTA UTS VAN VIR WAS WSA WSB,C PF PG SF SG,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Álex Abrines,abrinal01,2017,NBA,23,OKC,SG,68,6,1055,4.6,11.6,0.393,3.2,8.4,0.381,1.4,3.2,0.426,0.531,1.5,1.7,0.898,0.6,2.3,2.9,1.4,1.3,0.3,1.1,3.9,13.9
No,Quincy Acy,acyqu01,2017,NBA,26,2TM,PF,38,1,558,4.5,11.0,0.412,2.4,5.8,0.411,2.1,5.2,0.413,0.521,2.9,3.9,0.750,1.3,6.1,7.4,1.2,0.9,1.0,1.4,4.3,14.3
No,Quincy Acy,acyqu01,2017,NBA,26,DAL,PF,6,0,48,3.7,12.7,0.294,0.7,5.2,0.143,3.0,7.5,0.400,0.324,1.5,2.3,0.667,1.5,4.5,6.0,0.0,0.0,0.0,1.5,6.8,9.7
No,Quincy Acy,acyqu01,2017,NBA,26,BRK,PF,32,1,510,4.6,10.8,0.425,2.5,5.9,0.434,2.0,4.9,0.414,0.542,3.0,4.0,0.754,1.3,6.3,7.6,1.3,1.0,1.1,1.3,4.1,14.8
No,Steven Adams,adamsst01,2017,NBA,23,OKC,C,80,80,2389,5.6,9.9,0.571,0.0,0.0,0.000,5.6,9.9,0.572,0.571,2.4,3.9,0.611,4.2,5.0,9.2,1.3,1.3,1.2,2.2,2.9,13.6
No,Arron Afflalo,afflaar01,2017,NBA,31,SAC,SG,61,45,1580,4.2,9.6,0.440,1.4,3.4,0.411,2.8,6.1,0.457,0.514,1.9,2.1,0.892,0.2,2.6,2.8,1.8,0.5,0.1,1.0,2.4,11.7
No,Alexis Ajinça,ajincal01,2017,NBA,28,NOP,C,39,15,584,5.5,11.0,0.500,0.0,0.2,0.000,5.5,10.7,0.511,0.500,1.8,2.5,0.725,2.8,8.1,10.9,0.7,1.2,1.4,1.9,4.7,12.8
No,Cole Aldrich,aldrico01,2017,NBA,28,MIN,C,62,0,531,3.1,5.8,0.523,0.0,0.0,,3.1,5.8,0.523,0.523,1.0,1.5,0.682,3.5,7.3,10.7,1.7,1.7,1.6,1.2,5.8,7.1
No,LaMarcus Aldridge,aldrila01,2017,NBA,31,SAS,PF,72,72,2335,7.7,16.2,0.477,0.4,0.9,0.411,7.4,15.3,0.480,0.488,3.4,4.2,0.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2
No,Lavoy Allen,allenla01,2017,NBA,27,IND,PF,61,5,871,3.2,6.9,0.458,0.0,0.0,0.000,3.2,6.9,0.461,0.458,1.0,1.4,0.697,4.3,4.7,9.1,2.4,0.7,1.0,1.2,3.2,7.3
No,Tony Allen,allento01,2017,NBA,35,MEM,SG,71,66,1914,5.2,11.2,0.461,0.3,1.0,0.278,4.9,10.2,0.479,0.473,1.5,2.4,0.615,3.1,4.2,7.4,1.8,2.2,0.5,1.9,3.3,12.1
No,Al-Farouq Aminu,aminual01,2017,NBA,26,POR,PF,61,25,1773,3.7,9.5,0.393,1.4,4.3,0.330,2.3,5.2,0.445,0.468,1.9,2.8,0.706,1.6,7.6,9.2,2.0,1.2,0.9,1.9,2.1,10.8
No,Alan Anderson,anderal01,2017,NBA,34,LAC,SF,30,0,308,3.5,9.4,0.375,1.6,5.1,0.318,1.9,4.2,0.444,0.463,1.4,1.9,0.750,0.4,2.5,2.8,1.3,0.4,0.0,0.8,4.1,10.1
No,Chris Andersen,anderch01,2017,NBA,38,CLE,C,12,0,114,2.8,6.9,0.409,0.0,0.9,0.000,2.8,6.0,0.474,0.409,3.2,4.4,0.714,2.8,6.9,9.8,1.6,1.6,2.2,1.6,6.3,8.8
No,Justin Anderson,anderju01,2017,NBA,23,2TM,SF,75,10,1228,5.5,12.9,0.424,1.7,5.7,0.299,3.8,7.2,0.522,0.490,3.0,3.8,0.791,2.0,5.2,7.2,1.9,1.2,0.7,1.9,3.2,15.6
No,Justin Anderson,anderju01,2017,NBA,23,DAL,SF,51,2,710,5.6,14.0,0.401,1.9,6.2,0.303,3.8,7.9,0.477,0.468,3.5,4.5,0.795,2.0,5.6,7.6,1.6,1.4,0.8,2.0,3.2,16.7
No,Justin Anderson,anderju01,2017,NBA,23,PHI,SF,24,8,518,5.2,11.3,0.463,1.5,5.0,0.292,3.8,6.3,0.600,0.528,2.2,2.8,0.780,2.1,4.6,6.7,2.4,0.9,0.5,1.8,3.1,14.1
No,Kyle Anderson,anderky01,2017,NBA,23,SAS,SF,72,14,1020,3.3,7.4,0.445,0.5,1.4,0.375,2.8,6.0,0.462,0.481,1.6,2.0,0.789,1.2,6.2,7.3,3.2,1.8,0.9,1.4,2.2,8.7
No,Ryan Anderson,anderry01,2017,NBA,28,HOU,PF,72,72,2116,5.5,13.2,0.418,3.5,8.6,0.403,2.0,4.5,0.446,0.550,2.2,2.6,0.860,1.9,3.7,5.6,1.2,0.5,0.2,0.9,2.4,16.7
No,Giannis Antetokounmpo,antetgi01,2017,NBA,22,MIL,SF,80,80,2845,8.3,15.9,0.521,0.6,2.3,0.272,7.7,13.7,0.563,0.541,6.0,7.7,0.770,1.8,7.1,8.9,5.5,1.7,1.9,3.0,3.1,23.2
No,Carmelo Anthony,anthoca01,2017,NBA,32,NYK,SF,74,74,2538,8.5,19.7,0.433,2.1,6.0,0.359,6.4,13.7,0.466,0.488,4.3,5.2,0.833,0.9,5.3,6.2,3.0,0.9,0.5,2.2,2.8,23.5
No,Joel Anthony,anthojo01,2017,NBA,34,SAS,C,19,0,122,3.0,4.7,0.625,0.0,0.0,,3.0,4.7,0.625,0.625,1.5,2.4,0.625,2.4,6.8,9.1,0.9,0.6,1.8,1.2,3.2,7.4
No,Trevor Ariza,arizatr01,2017,NBA,31,HOU,SF,80,80,2773,4.2,10.4,0.409,2.5,7.2,0.344,1.8,3.2,0.556,0.528,1.2,1.6,0.738,0.7,5.2,5.9,2.3,1.9,0.3,0.9,1.7,12.2
No,Metta World Peace,artesro01,2017,NBA,37,LAL,SF,25,2,160,4.3,15.3,0.279,2.0,8.6,0.237,2.3,6.8,0.333,0.346,2.3,3.6,0.625,1.1,3.4,4.5,2.5,2.3,0.5,1.6,4.1,12.8
No,Darrell Arthur,arthuda01,2017,NBA,28,DEN,PF,41,7,639,5.4,12.1,0.442,3.0,6.6,0.453,2.4,5.5,0.429,0.565,1.1,1.2,0.864,1.4,4.9,6.3,2.4,1.1,1.2,2.0,4.3,14.8
